,0
Hinghwa,1.1666666666666667
hochia,2.0
ho,1.3333333333333333
hoisin,1.5
Hokchew,2.0
Hokkien,1.0
hongbaohong,0.25
horhaw,0.0
horfun,1.0
Sam,2.0
hormiah,2.0
horn,1.0
horrigible,0.0
hotplate,2.0
hotpot,1.3333333333333333
huatkueh,2.0
humchim,1.0
Hungry,0.75
IC,1.0
National,0.5
An,1.0
ice,1.3333333333333333
iceballn,1.0
idiappam,1.0
idle,0.5
ikan,1.0
Inche,0.5
Indian,1.2
Ipoh,1.0
ironrice,0.5454545454545454
is,0.5
itchy,0.0
itek,1.0
jagajah-gah,1.3333333333333333
jalan,1.0
jalan-jalan,1.0
jangan,0.0
jelakj-lahk,0.8
jisiao,1.0
jia,1.0
jiaozi,1.1428571428571428
Joe,1.0
jubejuub,2.0
jutjuut,1.0
kaki,1.0
kacang,1.125
Ice,1.0
kacangpool,1.0
kacau,0.0
kachangvar,1.0
kachauvar,1.0
kailan,1.1111111111111112
kalang,0.0
kali,1.0
kampong,1.0
kampung,0.5714285714285714
Balek,1.0
kampungchicken,1.0
kancheong,1.0
kan,0.5
kana,1.0
Olives,0.0
kang,1.0
kangkong,1.0
Known,0.8333333333333334
kangtao,1.0
kantangvar,1.0
kaopeh,1.0
kapokvar,1.0
kapuk,1.0
karang,1.0
karung,0.75
karungguni,1.0
katekvar,1.0
kati,1.0
hist,0.75
katik,0.3333333333333333
kauchoi,1.5
kaukay,1.0
kaykay,0.5
kaykiang,0.0
kaya,1.5
kaypoh,1.0
kayu,0.0
kebelakang,0.5
keechang,1.1666666666666667
kelam,0.0
kelong,1.0
NB,0.8
kena,0.14285714285714285
kenasai,0.25
kengkeng,0.4
chaokeng,1.0
keng,0.5
Phrases,1.3333333333333333
kengster,0.0
kentang,0.5
keohteoh,1.0
keropok,1.3333333333333333
ketok,1.0
ketupat,0.0
Khek,1.1666666666666667
khia-khia,0.0
khoonvar,1.0
kiamchye,1.0
kiaokar,1.0
kiasi,0.2857142857142857
kiasi-ismn,0.6666666666666666
kiasu,0.75
kiasuism,0.6666666666666666
kiasu-ness,1.0
kilat,2.0
kin,1.0
king,1.0
kitchi,0.5
KIV,1.0
Kiwi,1.6
Kling,1.0
In,0.8
konlo,0.5
kong,2.0
koo,1.0
koonkoon,0.5
kopi,0.3333333333333333
kopikah,1.0
kopikau,1.0
kopikia,1.0
Anwar,1.0
Philip,1.0
kopilicence,0.5
kopipeng,0.0
kopipo,0.0
kopisiew,1.0
kopi-C,1.0
Carnation,0.9
Coffee,0.5
kopi-chino,1.0
kopi-o,1.0
kopitiam,1.125
korban,0.8333333333333334
koro,0.1875
kosong,0.6666666666666666
kotek,0.5
koyak,0.0
kuachi,1.0
Leong,1.0
Dried,0.0
kuahlang,1.0
kuah,1.0
kuailan,0.0
kucing,0.0
kuehkuay,1.25
Ang,1.0
Chwee,1.0
kueh,1.0
kuehdodol,1.0
kuehkoci,1.0
kuehpie,1.5
Peach,1.0
Perng,1.0
Soon,1.0
kuihvar,1.0
kuti,1.0
WG,1.0
kway,1.0
la,1.0
lagi,0.3333333333333333
lahlah,0.0
laksa,1.0
Penang,1.3333333333333333
lan,0.0
J,1.0
lan-lan,0.0
walan,0.6666666666666666
langgar,1.0
langsat,1.0
Lantern,1.0
lao,1.0
lau,1.0
leceh,0.6
lecheh,1.0
leh,0.0
lei,1.5
lelong,0.3333333333333333
lemak,2.0
lemang,1.0
See,1.0
lembek,1.0
lengkuas,1.0
lepak,0.0
level,0.6666666666666666
liakbo,0.5
liamkeng,1.0
lian,1.0
like,0.0
lin,0.6666666666666666
little,1.0
Utusan,1.0
lohei,1.3333333333333333
loshee,1.5
lobang,1.0
lobo,0.0
lohkai,1.0
loklok,1.0
long,1.0
longan,1.2
longkang,1.0
lontong,1.3333333333333333
lorlo,0.4
lormai,1.0
lorark,1.0
lormee,1.4
lose,0.3333333333333333
lotusroot,0.6666666666666666
lotusseed,0.8333333333333334
love,1.0
LPPL,1.0
lumpa,1.0
lupcheong,2.0
malai,2.0
masi,0.0
mabok,1.0
Intoxicated,1.0
Neil,0.5
mahmah,2.0
mahjie,0.5
mahmee,2.0
maintain,0.0
makan,1.0
carimakan,1.0
Work,1.0
makcik,1.0
Tan,0.6153846153846154
malau,1.0
malu,0.75
mama,1.0
mamashop,1.0
mangali,1.0
manja,1.5
market,1.0
masak-masak,1.0
nursery,1.0
mass,1.0
Mat,1.0
Joseph,1.0
Dennis,1.0
mata,1.0
mati,0.0
MC,0.0
meemee,0.5
bakchor,1.0
Hay,1.0
Lor,1.0
Mah,1.0
mee,1.375
Ponggol,1.0
meekia,0.25
meepok,0.3333333333333333
meesiam,1.8
meesoup,1.6666666666666667
meesua,0.6666666666666666
meetai,1.75
meehoonvar,1.0
wantan,1.0
mehmair,0.0
mei,1.0
meicai,1.0
merlion,0.8
Mid-Autumn,0.75
Milo,1.0
Nestl,1.2857142857142858
Miloccino,1.5
Minah,1.0
ming,1.0
mood,1.0
mooncake,1.1666666666666667
muffadetmuf,0.5
mugger,0.0
muichoy,0.5
mum,0.0
munjen,1.0
murtabak,1.3333333333333333
murukku,1.0
my,1.5
nam,1.5
nanny,0.6666666666666666
nasi,1.5
neh,1.0
new,1.0
ngeow,0.0
ngo,1.0
Raelene,1.0
nian,0.8888888888888888
nin,1.0
nng,0.0
no,0.0
nor,1.5
not,0.0
NRIC,0.5
nyatoh,2.0
OP,0.0
oa,1.0
OB,1.0
obiang,0.5
oei,0.5
off,0.25
off-beat,0.0
old,0.6666666666666666
on,0.3333333333333333
onde,1.0
ondeh,1.3333333333333333
one,2.0
one-,1.0
opeh,1.25
or,1.3333333333333333
orang,1.0
or-bi-good,2.0
ORD,0.0
Dr,1.125
orgy,0.0
orh,1.0
orluak,1.3333333333333333
orni,1.3333333333333333
OT,0.0
otah-otah,1.0
otak-otak,0.8
otang,1.0
outside,0.2
owa,1.0
owe,0.6
own,1.0
ownself,1.0
paip,0.0
paicho,0.0
paikia,1.0
pai,0.0
painang,0.5
zhopai,0.0
paiseh,0.25
pakchoi,1.0
Robert,0.8
pak,1.0
pakat,1.0
Agree,1.0
pakcik,1.0
Mal,1.0
pangchan,1.0
panggiu,1.0
pantang,0.0
Taboo,1.0
Nancy,0.0
paper,2.0
pasal,1.0
pasang,2.0
often,0.5
CS,1.0
pasar,1.0
patchri,2.0
paubow,1.25
pauchia,1.0
pauka,1.0
pautau,1.0
peachkueh,1.5
peanutsoup,2.0
peepee,0.5
pekchek,0.0
pektor,1.1428571428571428
pengpeng,1.0
Cha,1.0
Chau,1.0
seowpeng,1.0
peng,1.0
pengat,2.0
pengsan,1.0
Peranakan,1.0
perngkueh,1.0
perngtang,0.5
petai,1.0
Kok,1.75
PGO,1.0
phaicho,1.0
phakbang,0.25
Pinkerton,0.8571428571428571
pisang,1.0
pisanggoreng,1.0
pisangmas,1.0
plasterprata,0.5
playcheat,0.0
playplay,1.0
play,1.0
PLU,1.0
police,0.0
pompom,0.0
pondan,1.0
pong,0.0
Pongal,0.875
Boghi,2.0
Kanni,1.0
kolam,1.0
Maargazhi,1.0
Maattu,1.0
Surya,1.0
ponteng,1.0
Escape,1.0
popiah,1.0
potong,1.0
powderbath,0.0
powderful,2.0
prata,1.0
Richard,1.0
Roti,1.0
Michelle,1.5
Egg,1.0
Plaster,1.0
pregnant,1.0
puahliap,1.0
pulasan,1.0
Teo,1.75
pulut,0.0
pumpn,1.0
punchan,1.0
put,0.0
putri,1.5
Zul,1.0
putu,1.25
PWD,1.0
Qing,0.5
Ramly,1.5714285714285714
rangen,0.0
red,1.5
relak,1.0
remisier,0.5714285714285714
rempah,1.2
rendang,1.0
reservist,0.5
ricebowl,0.8
rickshaw,0.3333333333333333
ROD,0.8
rojak,0.9
roti,0.8333333333333334
rotijala,1.0
rotijohn,1.3333333333333333
RSMs,1.0
rubbish,0.0
rugi,0.0
runner,0.0
saatsaht,2.0
sabo,0.5
sago,1.5
sah-saat,1.0
saikang,0.0
sai,1.0
sakali,0.6666666666666666
sakar,2.0
salah,0.0
samlo,0.875
sambal,0.0
sampai,1.0
samseng,1.0
Samsui,0.6666666666666666
santan,1.0
sapu,0.0
Remove,1.5
sarabat,0.6
sard,1.0
sarong,1.5
satay,0.0
sataysauce,1.5
save,0.5
Westminster,1.5
Act,0.0
sayang,0.0
sayur,1.0
scorepoint,0.0
screwv,0.25
sedap,2.0
see,0.0
sei,2.0
sekali,1.0
selar,1.0
selaseh,1.0
selekeh,0.0
sell,1.0
senang,2.0
senget,0.0
Crooked,0.3333333333333333
seowsiow,1.0
seowcha,1.0
derog,1.0
seoweh,1.0
seow,0.0
serani,1.0
serimuka,1.8
shack,0.0
shake,1.0
shangmeen,0.0
Wong,0.5
sheeshee,0.5
shilling,1.0
shiokshiok,2.0
showhalf,0.5
shuijiao,1.0
shuikau,1.5
siasiak,1.0
siamsiahm,0.75
sian,0.0
siewmai,1.5
sign,0.5
signtwelv,0.0
sinjiao,0.5
Singapore,1.6666666666666667
Singapura,1.0
singgang,1.0
Singlish,0.9166666666666666
sinseh,0.75
sinus,0.3333333333333333
siong,0.0
siow,1.0
siput,0.0
slangv,0.0
slimev,0.0
smokev,0.5
SMS,1.0
K,1.0
snake,1.0
snow,1.0
snowskin,1.2
SOC,1.0
sohsi,1.0
solid,2.0
soon,1.3333333333333333
soto,0.8571428571428571
sotong,1.0
soya,1.0
specky,1.0
SPG,1.0
spoil,1.5
Spore,1.0
Sporean,1.0
standard,2.0
stand-by-bed,0.5714285714285714
steady,1.0
steamv,0.0
steamsia,1.0
steamboat,1.25
studymama,0.375
stylo,1.0
suaku,0.0
suan,1.6666666666666667
suaysuuay,0.0
sud,1.0
sudah,1.0
sugee,1.0
suisuuee,1.0
suka-suka,1.125
supsuup,1.0
Soup,1.0
sup,0.6666666666666666
super,1.0
susah,0.0
swee,1.0
SWH,1.0
switch,1.0
tapau,0.6
tactical,1.5
tahan,0.0
tahil,1.0
taichi,1.0
taitai,1.0
tairtair,0.0
takjalan,0.0
take,0.3333333333333333
talc,0.5
tambi,1.0
rare,1.0
tanghoon,1.0
tangkee,1.0
tangku,0.6666666666666666
tang,1.1
tangshui,2.0
tankee,1.0
tatgiu,1.0
taudow,1.0
taucheoh,1.4
tauhuay,1.0
taukon,0.0
taukua,1.0
taumio,0.75
tau,2.0
taupok,1.5
tausar,1.6666666666666667
taucheo,1.0
taufa,1.0
taufashui,1.0
taufoo,1.0
taufu,0.0
taufufa,0.0
taugeh,1.0
tauhu,1.0
Walter,0.0
tauyu,1.0
tauyubak,1.0
tehtay,1.0
teh,1.0
tehkah,1.0
tehpeng,1.0
tehpo,0.0
tehsiew,0.0
tehtarek,1.3333333333333333
teh-C,0.0
tehccino,1.5
teh-o,1.0
tekan,0.5
teltvar,1.0
tembah,1.0
Teochew,1.375
terkah,1.3333333333333333
terok,1.0
terror,2.0
teruk,0.5
Thaipusam,1.0769230769230769
than,2.0
thosai,1.0
thundertea,1.0
tiabo,0.0
tigershow,1.0
tikam,0.75
timchuk,2.0
tingkat,1.0
tio,0.8333333333333334
tiohoo,1.0
TMD,1.0
tocktock,0.6666666666666666
togok,0.6666666666666666
tohhay,1.1666666666666667
tok,2.0
tolong,1.0
toman,0.6
tombalek,1.0
tong,1.5
toottoot,0.0
topo,0.0
towgay,1.0
towkay,0.5
tulan,0.5
tuapek,0.42857142857142855
tuangtuahng,0.6
tumpang,0.5
Take,1.0
ular,0.0
ulu,0.6
uncle,0.8333333333333334
vadai,1.0
Vaisakhi,1.0
Vesak,1.25
void,0.5
vomit,0.0
walau,0.5
wapiang,1.0
wahpron,1.0
wah,1.5
wahlau,1.0
wake,0.0
wantonvar,1.0
washv,1.0
wayang,1.0
wet,0.8888888888888888
WH,1.0
whackwak,0.4444444444444444
what,0.6666666666666666
where,1.0
white,0.5555555555555556
whole,0.5
windwind,0.0
wontonvar,1.0
wokhei,1.0
worwor,1.0
wowo,0.0
wukok,1.0
xiao,1.0
ya,1.0
yamseng,1.25
yauzha,1.0
yaya,0.6666666666666666
yehyeh,0.5
yong,1.25
you,1.6
your,0.0
yumseng,1.0
yusheng,1.25
zaitz,2.0
aizai,0.0
buayzai,0.0
zapv,1.0
zero,1.0
zhicha,1.0
zichar,1.6666666666666667
